"","CK_1","CK_2","CK_3","Cd_1","Cd_2","Cd_3"
"Os01g0116901",174,272,163,181,185,226
"Os01g0894300",2846,2998,2417,2783,2837,2753
"Os01g0567400",1058,1489,1192,1120,2008,1313
"Os01g0237000",13,4,10,3,13,28
"Os01g0172600",25,28,10,9,24,12
"Os01g0946300",14,9,10,19,6,23
"Os01g0694400",159,138,144,136,140,147
"Os01g0666600",414,525,345,406,392,440
"Os01g0560000",3071,3166,2377,2589,2624,2465
"Os01g0692200",11,15,15,17,32,21
"Os01g0652600",4787,4390,4168,5062,5701,4880
"Os01g0105400",110,138,90,121,203,160
"Os01g0500900",495,451,396,623,486,600
"Os01g0886500",1390,1492,1201,1110,1369,1308
"Os01g0605300",63,64,52,42,60,48
"Os01g0498300",211,370,243,170,61,47
"Os01g0673500",1523,1731,1489,1625,1576,1518
"Os01g0673300",176,317,203,189,254,241
"Os01g0816100",1377,2015,1761,634,283,190
"Os01g0639600",946,1677,838,819,429,581
"Os01g0268900",638,756,863,1014,1301,1195
"Os01g0219300",59,60,36,50,33,30
"Os01g0342800",61,112,87,127,98,163
"Os01g0757800",1534,1420,1459,1541,1679,1527
"Os01g0781100",368,207,116,235,75,102
"Os01g0926800",7905,13219,6448,6496,3765,3087
"Os01g0815900",18,12,16,3,13,7
"Os01g0104100",3683,3669,2946,3484,3421,3649
"Os01g0279400",308,391,391,399,332,447
"Os01g0745000",73,104,168,124,103,6
"Os01g0637500",128,100,77,95,117,90
"Os01g0933400",347,272,446,388,334,364
"Os01g0605400",28,20,19,23,7,12
"Os01g0209000",1668,1636,1507,1879,1670,1639
"Os01g0873300",68,33,98,122,221,163
"Os01g0182400",230,206,98,114,112,102
"Os01g0137300",135,100,116,113,142,108
"Os01g0706400",4802,4808,4055,3551,3658,3320
"Os01g0158400",111,99,96,111,150,122
"Os01g0522400",1585,4404,1997,1256,126,5
"Os01g0959000",1788,1910,1746,1972,2460,2132
"Os01g0601625",901,1205,743,986,748,1058
"Os01g0694300",1631,1560,1418,1506,1712,1396
"Os01g0539900",986,1188,1097,1243,1199,989
"Os01g0773800",44,102,127,51,16,15
"Os01g0610100",2456,2834,2027,2281,1918,1989
"Os01g0872700",6618,6489,6097,6363,6516,6090
"Os01g0113350",130,104,83,100,87,93
"Os01g0740350",2,0,1,11,14,22
"Os01g0391500",865,781,806,955,1047,986
"Os01g0178000",4040,3829,3200,3331,3813,3169
"Os01g0719100",1472,1093,1805,3073,5054,2804
"Os01g0174300",1019,1028,732,559,520,440
"Os01g0784600",491,439,505,619,760,793
"Os01g0184800",546,769,525,538,635,569
"Os01g0974400",841,1774,1115,975,767,806
"Os01g0763200",1550,1407,1878,2020,1955,2820
"Os01g0259900",209,137,128,205,262,194
"Os01g0783900",397,328,405,340,388,429
"Os01g0714600",1917,3495,2564,1913,1271,1121
"Os01g0757051",36,26,40,28,38,43
"Os01g0674500",1900,1936,1776,1631,2293,1779
"Os01g0588900",9651,9969,13400,11040,20287,15863
"Os01g0610500",537,560,533,516,465,650
"Os01g0219200",10,27,24,24,21,19
"Os01g0338150",388,510,289,327,370,336
"Os01g0781700",101,88,60,48,58,43
"Os01g0681900",10315,9582,7880,6183,4605,3755
"Os01g0553400",524,522,405,557,473,537
"Os01g0276800",5049,4616,4086,4424,4000,3940
"Os01g0587000",4763,5235,3364,3488,3163,3100
"Os01g0136500",40,57,61,42,30,31
"Os01g0580500",18,19,12,24,4,2
"Os01g0204000",266,264,204,350,321,355
"Os01g0246400",32,14,5,6,5,12
"Os01g0731800",90,67,62,88,120,118
"Os01g0606050",179,164,154,197,145,145
"Os01g0874100",1675,2303,1474,1749,1767,1442
"Os01g0738800",30,41,34,30,9,19
"Os01g0175100",1722,3156,2556,2870,3284,2886
"Os01g0136450",398,448,337,257,278,261
"Os01g0103700",285,316,226,209,188,252
"Os01g0604100",219,339,279,356,304,328
"Os01g0972000",249,356,357,324,278,291
"Os01g0940000",203,178,183,205,197,138
"Os01g0360200",131,75,157,267,254,295
"Os01g0279900",1325,1419,1274,1461,1701,1671
