"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os02g0806900",1211.46131774453,-1.32597978841236,0.252487627321361,-5.25166243779811,1.50732518497678e-07,9.81579027075616e-06
"Os04g0664500",106.32589933095,-2.91782428816922,0.555761965437452,-5.25013309587052,1.51989352228392e-07,9.86861069703465e-06
"Os09g0532000",1315.13905387423,-2.21286133211232,0.421624292831703,-5.24841990780549,1.53409309181811e-07,9.93168279121191e-06
"Os06g0726100",233.415147281797,-2.10664628155731,0.401716111089222,-5.24411698561282,1.5703254584106e-07,1.00734666816215e-05
"Os06g0585950",80.4773712308655,-2.24231121953312,0.429137151874007,-5.22516218822147,1.7400252173748e-07,1.0883022129349e-05
"Os06g0318800",920.195925129956,-1.22354749347545,0.234253418602479,-5.2231788153827,1.75877399845396e-07,1.0969300028104e-05
"Os04g0434800",3699.2692872019,-1.07875542168775,0.207189617978942,-5.20660944409573,1.92322282329752e-07,1.18283545918418e-05
"Os03g0812400",191.645333429224,-1.11762786011994,0.214782477516296,-5.2035337009051,1.95534273390649e-07,1.19265133530093e-05
"Os06g0545900",256.749170331178,-1.28942669604328,0.247786474135573,-5.20378160487399,1.95273478500511e-07,1.19265133530093e-05
"Os05g0339200",342.968695001142,-1.19404127097522,0.230039780087383,-5.19058603916964,2.09633224985557e-07,1.25445654983925e-05
"Os03g0570100",39.7871537425992,-3.25955160989004,0.629106613156274,-5.18123882617705,2.20417055211333e-07,1.30488075385939e-05
"Os06g0207000",4049.2666441589,-1.59176137845597,0.307480103523621,-5.17679472660151,2.25730340529724e-07,1.32922751852889e-05
"Os08g0347000",83.409566368764,-2.30311859955191,0.446048262853673,-5.16338430468779,2.42524503053086e-07,1.39836849533812e-05
"Os10g0580900",1893.64727512855,-1.41893839158345,0.275487914528587,-5.15063752982244,2.59602483870125e-07,1.48523477916497e-05
"Os10g0468500",662.157283292719,-1.52725521722466,0.296637136909624,-5.14856377436641,2.62488541801342e-07,1.49787598041843e-05
"Os01g0740700",54.9040555770145,-2.00704986309194,0.391309369617975,-5.12906160425285,2.91190048582524e-07,1.61180971641642e-05
"Os07g0442900",366.229442732869,-2.09002631875124,0.408244745928722,-5.11954247934435,3.06277777872574e-07,1.6910963291463e-05
"Os11g0621000",747.216409051803,-1.09905837445153,0.214712589921379,-5.11874210475489,3.07580212822461e-07,1.69406305773684e-05
"Os08g0114300",568.860121990417,-1.74228909657059,0.340445285146339,-5.11767726735199,3.09321295789857e-07,1.69942501490899e-05
"Os12g0150200",250.611554106015,-2.98524065874382,0.583911275248485,-5.1124901766513,3.17939525175589e-07,1.73386675539722e-05
"Os05g0183100",1759.99245043903,-1.5206383551449,0.297977232357848,-5.10320316459187,3.33952149563931e-07,1.8078324067225e-05
"Os01g0750500",162.893195213081,-1.24894608721625,0.245120454160408,-5.09523406153179,3.48310649219816e-07,1.86278890926955e-05
"Os01g0818600",587.913462644979,-1.61513510960118,0.317118823711559,-5.09315432839224,3.5215481278568e-07,1.87880956864765e-05
"Os01g0948600",3026.09352815736,-1.3240585576703,0.26014153530137,-5.0897622178496,3.5851278687597e-07,1.89447055232001e-05
"Os04g0631800",511.612328269488,-1.65826504711647,0.325989833821277,-5.08686123023582,3.64037995840979e-07,1.91908696807503e-05
"Os03g0422800",571.726657473433,-1.274522034298,0.250658082134266,-5.08470352699537,3.68200751066567e-07,1.92726544429429e-05
"Os08g0141400",1478.24901269948,-2.0570786290691,0.40510504412217,-5.07788944846792,3.81650642948333e-07,1.96972654674104e-05
"Os06g0649000",1328.21334861494,-1.68577163242601,0.332201115620343,-5.07455138817956,3.88411257007593e-07,1.98152388050809e-05
"Os03g0734300",1102.70777153703,-2.0816005421611,0.410464540903076,-5.07132854297549,3.95048087645547e-07,2.00154684406409e-05
"Os06g0661900",1626.03388888431,-1.29354580141885,0.255144814530187,-5.06984946490378,3.98130473741412e-07,2.01048252114675e-05
"Os04g0380300",705.292976758664,-1.01098561969822,0.199475577264894,-5.06821754101597,4.0155831686569e-07,2.01188068848863e-05
"Os04g0543900",8034.66125742593,-1.87099533170684,0.369451044514245,-5.06425779406533,4.09994528845718e-07,2.03993008161192e-05
"Os03g0397400",616.336130966721,-1.15233060686037,0.22757766445676,-5.06346090514219,4.11712843782092e-07,2.04388656371733e-05
"Os06g0586150",2460.34183082262,-1.90060673529914,0.375557762905363,-5.06075742009912,4.17594237817734e-07,2.05923252105177e-05
"Os10g0442900",3147.30330995856,-1.04562488894531,0.206720643570208,-5.0581541876353,4.23334090606853e-07,2.08289780002808e-05
"Os08g0189700",43.6675665238853,-2.34136039647171,0.46293147916799,-5.05768240405633,4.24382438795599e-07,2.08342607037103e-05
"Os11g0607900",50.9910079430018,-4.21068251868525,0.835148085409955,-5.0418393962052,4.61078194632033e-07,2.24617818076484e-05
"Os10g0419400",592.63947206312,-1.64528938671686,0.327433410765639,-5.02480606016861,5.03941533304999e-07,2.42034045312494e-05
"Os02g0682300",221.363090586505,-1.3259357281575,0.26408784041243,-5.02081324943536,5.14531662007913e-07,2.45596641185699e-05
"Os02g0669366",257.836715013412,-1.32570802923946,0.26437636493663,-5.01447256662761,5.31791391103263e-07,2.52504050370122e-05
"Os01g0927300",83.019127869512,-1.95948191656752,0.392306161287793,-4.99477731916134,5.89036933068705e-07,2.75726569451886e-05
"Os01g0548600",158.443504958966,-1.80209433141299,0.361271522748604,-4.98819922949478,6.09447017332349e-07,2.83482487620915e-05
"Os05g0530400",2576.38670380608,-1.22998021935363,0.246603033145915,-4.98769298845508,6.11045690327701e-07,2.83630243805988e-05
"Os02g0282000",2905.34146627551,-1.04119073771541,0.208791590966444,-4.98674651069998,6.1404544908201e-07,2.84426365860351e-05
"Os01g0305200",986.423896143508,-1.38576886281305,0.278343347606584,-4.97863115727028,6.4035542904532e-07,2.9476319240109e-05
"Os03g0634400",148.301762509191,-1.77838359498046,0.357519673267726,-4.97422583413677,6.55089045966753e-07,3.00296616288817e-05
"Os02g0639300",55.5607927885057,-4.33941647856347,0.874564674563926,-4.96180168805376,6.98422848391611e-07,3.16232725689952e-05
"Os02g0117200",130.170820849799,-1.15384253412111,0.232989661766126,-4.95233361589807,7.33287473590085e-07,3.29802775738257e-05
"Os04g0122000",2008.40129728841,-1.07185464231417,0.216524181802732,-4.95027683924328,7.41079895010401e-07,3.29802775738257e-05
"Os08g0352100",245.283216899565,-2.07920758174465,0.420432957720037,-4.94539627202389,7.59891249807037e-07,3.35703951910483e-05
"Os08g0360300",642.916895486679,-1.05200591149334,0.212773005577574,-4.94426399926845,7.64320697152887e-07,3.35770328485358e-05
"Os02g0139100",297.547622395795,-1.15219788140298,0.233161106200696,-4.94163842408267,7.74687851639075e-07,3.38808238680248e-05
"Os11g0210201",1105.439774174,-1.52798500884152,0.309349687943233,-4.93934556391702,7.83851952588745e-07,3.40967899455155e-05
"Os04g0527700",614.326285258146,-1.20340931126526,0.243677413449989,-4.93853449208679,7.87118576104932e-07,3.41717497912535e-05
"Os02g0738100",130.634374554231,-1.34339484998544,0.272138549038564,-4.93643717412147,7.95626514727605e-07,3.43460764388688e-05
"Os02g0566300",419.434948696068,-1.27092329450154,0.257459667945267,-4.93639762936277,7.9578777892325e-07,3.43460764388688e-05
"Os02g0551700",274.861115761335,-1.31563311071404,0.26666043697845,-4.93373942389647,8.06700472484293e-07,3.46766530088869e-05
"Os03g0241600",1788.45501805308,-1.08904185409912,0.221013401789257,-4.92749238409332,8.32916690664074e-07,3.54084843900226e-05
"Os10g0485800",458.358363763249,-1.71743147878752,0.348531699620418,-4.92761915389031,8.32376625874975e-07,3.54084843900226e-05
"Os09g0323000",743.359976017466,-1.24301410027575,0.252213378504378,-4.92842254303401,8.28961859702336e-07,3.54084843900226e-05
"Os04g0103500",680.630433931748,-1.11504655922543,0.226364836145299,-4.92588238620997,8.39805031769653e-07,3.55528168420877e-05
"Os01g0778800",11594.3863833321,-1.33015862738228,0.270871522945191,-4.91066249017039,9.07692037856757e-07,3.78478519965847e-05
"Os03g0301200",252.625877695052,-1.67771981650295,0.342029087618327,-4.90519630416679,9.33339473224004e-07,3.87712369167967e-05
"Os03g0331700",837.862897057478,-1.15478561890574,0.235575434861222,-4.90197808437042,9.48764230172675e-07,3.93381813113356e-05
"Os11g0490900",1809.64985267302,-1.55320618346071,0.316980354059469,-4.90000772467215,9.58328873549458e-07,3.95864917710048e-05
"Os06g0547400",174.82019617634,-3.08003036372403,0.62866029752563,-4.89935562313518,9.61514740221481e-07,3.963054991042e-05
"Os05g0142900",62.1840229301154,-1.93160694285524,0.394351621165682,-4.89818435929214,9.67262614984313e-07,3.97331383272127e-05
"Os06g0200600",132.682564307125,-1.7803595499863,0.363762376705677,-4.89429271413302,9.86599023807724e-07,4.03031162105661e-05
"Os07g0570100",1813.55827776404,-1.10750447628162,0.227129230186289,-4.87609840165994,1.08204646902893e-06,4.37981551568e-05
"Os03g0374400",917.392487619279,-1.25689049780916,0.25784491528866,-4.87459873467763,1.09029844414794e-06,4.40516384158387e-05
"Os07g0683200",6410.71737764067,-1.56166396431858,0.320747302479117,-4.868829612122,1.12261149619794e-06,4.51922566133065e-05
"Os07g0127700",67.7717456019883,-3.30965543787493,0.679854328007292,-4.86818322915704,1.12628879731424e-06,4.52580041040557e-05
"Os07g0218200",155.992942081106,-8.30821981845728,1.70693757307262,-4.86732493883877,1.13118956625919e-06,4.5372587294465e-05
"Os03g0136900",4551.68984144362,-1.01282526846088,0.208426729140045,-4.85938282791141,1.17752246856148e-06,4.68912319719781e-05
"Os01g0693300",985.125462481305,-1.22081569519988,0.251327186434591,-4.85747567749737,1.1889173633264e-06,4.71894240954371e-05
"Os02g0511400",131.294360941591,-2.00692100875154,0.413166350921255,-4.85741639965749,1.18927323270195e-06,4.71894240954371e-05
"Os06g0133900",4466.9088276958,-1.32966129051841,0.274003321482382,-4.85271960691872,1.21779812653118e-06,4.78921284538665e-05
"Os08g0458200",469.345351671551,-1.44607136601074,0.297978356042716,-4.85294094918573,1.21643920235255e-06,4.78921284538665e-05
"Os12g0443000",385.521776486547,-2.31324801568304,0.476986675955108,-4.84971201984007,1.23640848600716e-06,4.82809881634648e-05
"Os05g0462301",918.857240241538,-1.02020814577848,0.210967797388049,-4.83584773794613,1.32579380295722e-06,5.09625010265206e-05
"Os09g0543900",18.2851832551053,-7.6600934104765,1.58731185514776,-4.82582763156105,1.39423055515713e-06,5.29496719069195e-05
"Os03g0156700",863.826682026598,-1.1428610707535,0.236891631246644,-4.82440458001486,1.40422122768301e-06,5.32377777433723e-05
"Os01g0959100",661.5007840734,-2.00259177721209,0.415970012502271,-4.81426957959176,1.47739259634562e-06,5.51618035003178e-05
"Os11g0133700",421.710659069477,-1.18229799604401,0.246715378695825,-4.79215362371739,1.65000479316459e-06,6.04846955719489e-05
"Os02g0313700",3220.80307622709,-1.03818913906783,0.217019219529709,-4.78385804408309,1.71962152491761e-06,6.27251073858333e-05
"Os01g0684900",3429.76593853957,-1.03178262044133,0.215823085959841,-4.78068699579858,1.74697176654099e-06,6.36179307285921e-05
"Os06g0294600",83.1797565886248,-2.60162725251631,0.544284276057383,-4.77990522041468,1.75377852839654e-06,6.37609366128535e-05
"Os01g0850100",1776.54702125465,-1.08420096661178,0.226938170058037,-4.77751700533458,1.77473045707159e-06,6.43114681669755e-05
"Os06g0354500",2532.84213769026,-1.13662915868994,0.238146924637983,-4.77280636908404,1.81676441348517e-06,6.57270929395019e-05
"Os06g0282000",360.004453170141,-1.30689034106385,0.274690210235906,-4.75768808776069,1.9582276748384e-06,7.00438109024185e-05
"Os03g0806600",3997.46780330939,-1.02515948406909,0.215528567411328,-4.75649003926524,1.96987954037409e-06,7.0233660069924e-05
"Os07g0564500",430.720192892502,-2.24775176885335,0.473516549809117,-4.74693391341752,2.06523392887848e-06,7.30452786250773e-05
