,CK_1,CK_2,CK_3,Cd_1,Cd_2,Cd_3
Os01g0777200,1158,626,947,1035,1327,1014
Os01g0771350,258,264,229,226,204,200
Os01g0829600,0,0,1,0,0,0
Os01g0804200,611,991,602,642,495,341
Os01g0648500,106,84,92,150,166,168
Os01g0935700,944,1047,748,792,635,642
Os01g0885000,210,267,234,179,161,142
Os01g0720800,301,333,388,171,193,211
Os01g0218900,501,532,424,436,550,575
Os01g0720900,0,0,0,0,0,0
Os01g0810100,546,444,442,548,498,542
Os01g0806801,0,0,0,0,0,0
Os01g0193700,0,0,0,0,0,0
Os01g0150950,0,1,0,1,0,0
Os01g0766900,199,160,159,181,200,229
Os01g0248450,2,12,7,4,2,2
Os01g0585200,19,43,17,19,4,2
Os01g0860500,0,0,0,0,0,0
Os01g0846900,8,4,1,3,4,3
Os01g0909000,5,8,4,9,3,9
Os01g0784750,21,15,13,19,5,7
Os01g0897000,137,147,158,194,262,213
Os01g0776700,1299,1568,1264,1465,1600,1536
Os01g0910200,88,84,94,134,134,163
Os01g0191200,364,115,1489,3205,7582,9082
Os01g0876300,0,0,1,0,1,7
Os01g0207600,0,0,0,0,0,0
Os01g0249100,0,0,0,0,0,0
Os01g0973400,2264,1757,1907,3155,3377,3479
Os01g0142100,2288,1952,2376,3315,3454,3330
Os01g0935400,7,20,6,17,24,26
Os01g0186200,479,374,590,396,756,698
Os01g0339600,15,21,18,31,23,22
Os01g0512100,1251,1113,965,1007,1054,1101
Os01g0350900,1433,1620,1585,1647,2041,1852
Os01g0728325,3,1,0,1,0,0
Os01g0726700,1,1,1,0,1,2
Os01g0917900,0,0,0,0,0,0
Os01g0891350,0,0,0,0,0,0
Os01g0144800,19,29,11,17,17,15
Os01g0818000,1007,905,818,1097,964,1027
Os01g0950866,0,0,0,0,0,0
Os01g0812025,0,0,0,0,0,0
Os01g0599550,579,456,501,807,811,808
Os01g0605000,10,4,5,10,6,6
Os01g0946800,0,0,0,0,0,0
Os01g0248900,0,0,0,0,0,0
Os01g0379800,0,0,0,0,0,1
Os01g0748800,0,0,0,0,0,0
Os01g0717400,2,0,4,1,4,2
Os01g0714225,0,0,0,0,0,0
Os01g0316001,0,0,0,0,0,0
Os01g0638701,0,0,0,0,0,0
Os01g0704000,0,0,0,0,0,0
Os01g0246100,1728,1344,1440,1389,1486,1555
Os01g0567200,6,2,4,4,0,3
Os01g0267300,9,10,3,4,9,17
Os01g0828400,0,0,0,0,0,0
Os01g0866000,0,0,0,0,0,0
Os01g0121950,1,0,2,0,0,0
Os01g0727500,178,151,165,94,93,62
Os01g0971400,20,6,3,9,2,8
Os01g0521400,1099,835,773,729,673,674
Os01g0964800,321,269,254,247,213,252
Os01g0882200,42,59,80,147,188,133
Os01g0678000,189,291,160,321,261,272
Os01g0620900,7,14,9,9,2,0
Os01g0516900,0,0,0,0,0,0
Os01g0752100,334,439,315,392,352,247
Os01g0355400,0,0,0,0,0,0
Os01g0969100,84,94,55,59,49,56
Os01g0162400,4,9,5,2,11,8
Os01g0734200,90,100,68,53,65,77
Os01g0643825,0,0,2,0,0,0
Os01g0961300,353,309,438,428,428,394
Os01g0927900,517,455,347,532,486,487
Os01g0228500,15,3,9,7,27,10
Os01g0660300,448,633,413,308,117,54
Os01g0126600,80,101,86,74,75,67
Os01g0533500,207,173,246,259,301,263
Os01g0660500,0,0,0,0,0,0
Os01g0853400,1941,2254,1679,1826,1822,1767
Os01g0939800,0,2,0,2,0,0
Os01g0588400,20,37,10,15,16,12
Os01g0196800,8,0,2,1,0,3
Os01g0582400,996,997,858,985,1023,1109
Os01g0183850,9,11,7,14,7,8
Os01g0628950,0,0,0,0,0,0
Os01g0870300,131,108,137,146,160,154
Os01g0275950,141,183,131,176,165,145
Os01g0220200,1863,1705,1456,1691,1175,900
Os01g0519400,376,374,385,608,612,589
Os01g0808900,26,36,36,28,39,19
Os01g0151200,7644,6383,7261,8399,9150,9164
Os01g0122200,0,0,0,0,0,0
Os01g0845100,44,60,39,39,10,17
Os01g0205800,0,0,0,1,0,2
Os01g0793100,1,0,0,0,0,0
Os01g0923200,30,9,7,21,15,34
Os01g0138600,52,48,51,51,47,46
Os01g0801800,21,13,28,15,10,32
Os01g0284700,416,477,360,414,313,331
Os01g0571166,57,21,55,27,63,51
Os01g0887400,215,213,198,344,328,323
Os01g0580400,0,0,0,0,0,0
Os01g0113000,125,48,59,155,143,122
Os01g0322300,0,0,0,0,0,0
Os01g0267900,1096,1446,914,817,863,662
Os01g0158500,0,0,0,0,0,0
Os01g0154300,0,0,0,0,0,0
Os01g0691700,1108,1229,1000,1082,1003,1008
Os01g0755100,1236,1132,952,945,984,928
Os01g0281400,3305,3668,2901,2692,2541,2689
Os01g0973500,7,4,4,7,2,1
Os01g0897800,4439,3767,3325,3661,3479,3556
Os01g0546100,0,0,0,0,0,0
Os01g0939150,0,0,0,0,0,0
Os01g0960900,0,0,0,0,2,1
